name,latitude,longitude,bio01,bio02,bio03,bio04,bio05,bio06,bio07,bio08,bio09,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,us_l3name,grtgroup,soil pH in H20,soil organic carbon,soil sand,soil clay,soil bulk density,elevation,slope,aspect,gHM,NDVI,EVI,NBRT,greenness,landcover,impervious,percent_tree_cover,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B10,B11,B12
K0594_L7,34.15459,-118.276618,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,139.0814208984375,2.6831713015638736,165.77326277080445,0.9409082531929016,0.13767988979816437,0.12129836791829407,0.9583384492438937,0.11442150920629501,24.0,81.0,2.0,0.1673000007867813,0.1445000022649765,0.13130000233650208,0.13715000450611115,0.14014999568462372,0.1545500010251999,0.16245000064373016,0.1554500013589859,0.16940000653266907,0.05974999815225601,0.0013000000035390258,0.15665000677108765,0.13269999623298645
K0596_C3,34.155107,-118.275459,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,141.48580932617188,1.256143569250775,185.80418662507344,0.9409082531929016,0.14370834827423096,0.12129836791829407,0.9593475201127245,0.16660229861736298,23.0,81.0,4.0,0.16904999315738678,0.14665000140666962,0.13165000081062317,0.13019999861717224,0.13490000367164612,0.148049995303154,0.1551000028848648,0.1460999995470047,0.15995000302791595,0.059950001537799835,0.0013000000035390258,0.148499995470047,0.13089999556541443
K0596_E4,34.154774,-118.27637,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,139.0814208984375,2.5058724240281056,183.90144208980877,0.9409082531929016,0.13767988979816437,0.13016963495133474,0.9583384492438937,0.11442150920629501,24.0,81.0,2.0,0.1673000007867813,0.1445000022649765,0.13130000233650208,0.13019999861717224,0.13490000367164612,0.15049999952316284,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.05974999815225601,0.0013000000035390258,0.1476999968290329,0.12540000677108765
K0596_L7,34.154918,-118.276231,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,140.55747985839844,1.6815409772831158,183.90144208980877,0.9409082531929016,0.13767988979816437,0.12129836791829407,0.9583384492438937,0.11442150920629501,24.0,81.0,4.0,0.1673000007867813,0.1445000022649765,0.13130000233650208,0.13715000450611115,0.14014999568462372,0.1545500010251999,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.059950001537799835,0.0013000000035390258,0.14904999732971191,0.13269999623298645
K0596_T9,34.154973,-118.275799,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,140.55747985839844,1.3572606062809303,183.90144208980877,0.9409082531929016,0.13767988979816437,0.12129836791829407,0.9583384492438937,0.13400119543075562,24.0,81.0,4.0,0.16904999315738678,0.14665000140666962,0.13165000081062317,0.13019999861717224,0.1388999968767166,0.1545500010251999,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.059950001537799835,0.0013000000035390258,0.14904999732971191,0.13269999623298645
K0597_K6,34.154997,-118.275944,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,140.55747985839844,1.3109872586923563,183.90144208980877,0.9409082531929016,0.13767988979816437,0.12129836791829407,0.9583384492438937,0.12521077692508698,24.0,81.0,4.0,0.16904999315738678,0.14665000140666962,0.13165000081062317,0.13715000450611115,0.14014999568462372,0.1545500010251999,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.059950001537799835,0.0013000000035390258,0.14904999732971191,0.13269999623298645
K0597_L7,34.155157,-118.27542,18.1,12.5,54.0,36.9,30.2,7.1,23.1,14.1,22.5,23.2,13.7,381.0,85.0,0.0,98.0,235.0,5.0,12.0,219.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,48.0,23.0,13.7,141.48580932617188,1.256143569250775,185.80418662507344,0.9409082531929016,0.14370834827423096,0.12129836791829407,0.9593475201127245,0.16660229861736298,23.0,81.0,4.0,0.16904999315738678,0.14665000140666962,0.13165000081062317,0.13019999861717224,0.13490000367164612,0.155799999833107,0.15995000302791595,0.14810000360012054,0.15995000302791595,0.059950001537799835,0.0013000000035390258,0.14904999732971191,0.13089999556541443
GN_DB1,34.103374,-118.242662,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,104.26347351074219,2.45940783993591,104.87843781023918,0.9351190328598022,0.12772507965564728,0.10956443417701812,0.9586493249764246,0.15654543042182922,23.0,57.0,10.0,0.17534999549388885,0.1551000028848648,0.1432500034570694,0.15195000171661377,0.1582999974489212,0.1670999974012375,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.17865000665187836,0.13940000534057617
GN_DB2,34.102937,-118.242638,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,103.69080352783203,2.45940783993591,104.87843781023918,0.9351190328598022,0.13781432807445526,0.1229581812451365,0.9586493249764246,0.18164272606372833,23.0,57.0,10.0,0.17534999549388885,0.1505499929189682,0.1354999989271164,0.1379999965429306,0.14094999432563782,0.16155000030994415,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.15745000541210175,0.13030000030994415
GN_PN1,34.10341,-118.242673,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,104.26347351074219,2.45940783993591,104.87843781023918,0.9351190328598022,0.12772507965564728,0.10956443417701812,0.9586493249764246,0.15654543042182922,23.0,57.0,10.0,0.17534999549388885,0.1551000028848648,0.1432500034570694,0.15195000171661377,0.1582999974489212,0.1670999974012375,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.17865000665187836,0.13940000534057617
GN_PN2,34.10329,-118.242672,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,104.26347351074219,2.45940783993591,104.87843781023918,0.9351190328598022,0.13418148458003998,0.10956443417701812,0.9586493249764246,0.17475081980228424,23.0,57.0,10.0,0.17534999549388885,0.1543000042438507,0.1432500034570694,0.15195000171661377,0.1579499989748001,0.1670999974012375,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.17865000665187836,0.13940000534057617
K0526_C3,34.102813,-118.242742,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,104.26347351074219,2.45940783993591,104.87843781023918,0.9351190328598022,0.14146342873573303,0.13653360729185732,0.9589871509817453,0.18164272606372833,23.0,57.0,10.0,0.17534999549388885,0.1505499929189682,0.1354999989271164,0.1379999965429306,0.14094999432563782,0.16155000030994415,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.15745000541210175,0.13030000030994415
K0526_G5,34.103427,-118.242642,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,104.26347351074219,2.45940783993591,104.87843781023918,0.9351190328598022,0.12772507965564728,0.10956443417701812,0.9586493249764246,0.15654543042182922,23.0,57.0,10.0,0.17534999549388885,0.1551000028848648,0.1432500034570694,0.15195000171661377,0.1582999974489212,0.1670999974012375,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.17865000665187836,0.13940000534057617
K0529_B2,34.103109,-118.242634,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,103.37380599975586,1.7382098393998127,104.87843781023918,0.9351190328598022,0.13418148458003998,0.11515168557338194,0.9586493249764246,0.18164272606372833,23.0,57.0,10.0,0.17534999549388885,0.1505499929189682,0.1354999989271164,0.1379999965429306,0.14094999432563782,0.16155000030994415,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.15745000541210175,0.13030000030994415
K0529_G5,34.103652,-118.242686,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,44.0,26.0,14.0,104.26347351074219,2.45940783993591,104.87843781023918,0.9351190328598022,0.12772507965564728,0.10956443417701812,0.9586493249764246,0.15654543042182922,23.0,72.0,4.0,0.17534999549388885,0.1551000028848648,0.1432500034570694,0.15195000171661377,0.1582999974489212,0.1670999974012375,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.17865000665187836,0.13940000534057617
K0529_M8,34.103251,-118.242645,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,104.26347351074219,2.45940783993591,104.87843781023918,0.9351190328598022,0.13418148458003998,0.10956443417701812,0.9586493249764246,0.17475081980228424,23.0,57.0,10.0,0.17534999549388885,0.15242499858140945,0.1393750011920929,0.1449749991297722,0.14944999665021896,0.16432499885559082,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.16805000603199005,0.13485000282526016
K0672_B2,34.10274,-118.242669,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,103.69080352783203,2.45940783993591,104.87843781023918,0.9351190328598022,0.14146342873573303,0.13653360729185732,0.9589871509817453,0.18164272606372833,23.0,57.0,10.0,0.17534999549388885,0.1505499929189682,0.1354999989271164,0.1379999965429306,0.14094999432563782,0.16155000030994415,0.17829999327659607,0.17374999821186066,0.18790000677108765,0.07240000367164612,0.00139999995008111,0.15745000541210175,0.13030000030994415
K0678_B2,34.103274,-118.242544,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,102.48413848876953,1.0170118388637155,104.87843781023918,0.9351190328598022,0.13599790632724762,0.11235805987520003,0.9562999671632135,0.17475081980228424,23.0,57.0,10.0,0.17117499560117722,0.1543000042438507,0.1432500034570694,0.15195000171661377,0.1579499989748001,0.16759999841451645,0.1785999983549118,0.17374999821186066,0.18790000677108765,0.07342500239610672,0.00139999995008111,0.18662500381469727,0.14880000054836273
K0678_K6,34.103437,-118.24275,18.3,12.1,54.0,35.65,29.9,7.6,22.3,14.4,22.5,23.2,14.0,393.0,89.0,0.0,100.0,250.0,5.0,13.0,228.0,Southern California/Northern Baja Coast,289.0,7.5,0.4,43.0,26.0,14.1,104.26347351074219,2.45940783993591,104.87843781023918,0.9351190328598022,0.12772507965564728,0.1229581812451365,0.9586493249764246,0.15654543042182922,23.0,57.0,10.0,0.17534999549388885,0.1551000028848648,0.1432500034570694,0.15195000171661377,0.16165000200271606,0.18050000071525574,0.19384999573230743,0.1809999942779541,0.20184999704360962,0.07445000112056732,0.00139999995008111,0.19460000097751617,0.1581999957561493
LB_DB1reserve,33.763026,-118.202279,17.7,10.5,53.0,32.42,27.8,8.0,19.8,14.2,21.5,22.2,13.9,305.0,69.0,0.0,95.0,180.0,3.0,8.0,177.0,Southern California/Northern Baja Coast,148.0,7.6,0.8,47.0,25.0,12.7,1.990004062652588,2.291024130835891,230.2550228432012,0.8228861689567566,-0.08910411596298218,-0.08838296332904448,0.9717386650530135,0.13517220318317413,21.0,21.0,8.0,0.1348000019788742,0.10530000180006027,0.07999999821186066,0.05889999866485596,0.06260000169277191,0.0681999996304512,0.07150000333786011,0.06769999861717224,0.07180000096559525,0.02019999921321869,8.999999845400453E-4,0.056299999356269836,0.03880000114440918
